"lambdas","nus","bias"
1,1,0.997382173516438
1,2,2.00851981688506
1,3,3.01703807972106
1,4,4.00384669192154
1,5,5.00525902279912
1,6,6.02261419837721
1,7,6.88660390267987
1,8,8.09271973937751
1,9,8.8264347215279
1,10,9.86163913129622
2,1,0.999925629075685
2,2,1.94966433339169
2,3,2.97406499568823
2,4,4.0035493257579
2,5,5.07026273802994
2,6,6.10495604128297
2,7,6.97717993306257
2,8,7.92616403313517
2,9,8.88149144577527
2,10,9.97257650582326
3,1,0.969519596226263
3,2,1.97097499183534
3,3,2.89864519952107
3,4,4.04830910973182
3,5,5.06735249894009
3,6,5.99870231256458
3,7,6.97903711648329
3,8,8.09316784396211
3,9,9.07779793860524
3,10,10.0973443065145
4,1,1.01715047113622
4,2,2.0305256708559
4,3,2.96174924033908
4,4,3.94083986946938
4,5,4.93043082925658
4,6,5.91120031305388
4,7,7.0459460604195
4,8,8.09904420450408
4,9,9.09059727271787
4,10,9.84868232637453
5,1,0.966859726221207
5,2,2.04336034911514
5,3,3.06001264327975
5,4,3.98099989804323
5,5,4.95454150698007
5,6,6.01428781025929
5,7,7.01829812643862
5,8,7.9805314276012
5,9,8.93889466795927
5,10,10.136635706747
6,1,1.01532519906124
6,2,2.06734555369481
6,3,3.06727343504527
6,4,3.87495317504863
6,5,4.92672538155572
6,6,6.1027619961029
6,7,6.89861146477345
6,8,7.94986471537264
6,9,9.0187397059359
6,10,10.099456038083
7,1,0.983622104623497
7,2,2.02644617490916
7,3,3.02188736675447
7,4,3.92770749789843
7,5,4.88836252710412
7,6,6.02041414283953
7,7,7.09709537641814
7,8,8.00973046351557
7,9,9.02470987696742
7,10,9.6709904397374
8,1,1.07147942259495
8,2,2.05806374063447
8,3,3.02064824686618
8,4,3.94755916059053
8,5,5.02948810635968
8,6,5.79344885652666
8,7,7.01167129913434
8,8,7.94896446184024
8,9,9.13379185318244
8,10,9.83412746256249
9,1,1.13525795312006
9,2,1.94717467359369
9,3,2.93148618120822
9,4,3.86018941226547
9,5,4.93226640234683
9,6,5.93492369808412
9,7,6.94277402863229
9,8,7.83604157196359
9,9,9.01380312540769
9,10,10.0130063108938
10,1,1.12746591863851
10,2,2.28792812726379
10,3,3.09778460688571
10,4,3.93772450734908
10,5,4.91419067837366
10,6,5.88927041551093
10,7,7.04574472879544
10,8,8.20511763845369
10,9,9.1838548708806
10,10,10.3985049982888
