"lambdas","nus","means"
1,1,1.99738217351644
1,2,3.00851981688506
1,3,4.01703807972106
1,4,5.00384669192154
1,5,6.00525902279912
1,6,7.02261419837721
1,7,7.88660390267987
1,8,9.09271973937751
1,9,9.8264347215279
1,10,10.8616391312962
2,1,2.99992562907568
2,2,3.94966433339169
2,3,4.97406499568823
2,4,6.0035493257579
2,5,7.07026273802994
2,6,8.10495604128297
2,7,8.97717993306257
2,8,9.92616403313517
2,9,10.8814914457753
2,10,11.9725765058233
3,1,3.96951959622626
3,2,4.97097499183534
3,3,5.89864519952107
3,4,7.04830910973182
3,5,8.06735249894009
3,6,8.99870231256458
3,7,9.97903711648329
3,8,11.0931678439621
3,9,12.0777979386052
3,10,13.0973443065145
4,1,5.01715047113622
4,2,6.0305256708559
4,3,6.96174924033908
4,4,7.94083986946938
4,5,8.93043082925658
4,6,9.91120031305388
4,7,11.0459460604195
4,8,12.0990442045041
4,9,13.0905972727179
4,10,13.8486823263745
5,1,5.96685972622121
5,2,7.04336034911514
5,3,8.06001264327976
5,4,8.98099989804324
5,5,9.95454150698007
5,6,11.0142878102593
5,7,12.0182981264386
5,8,12.9805314276012
5,9,13.9388946679593
5,10,15.136635706747
6,1,7.01532519906124
6,2,8.06734555369481
6,3,9.06727343504527
6,4,9.87495317504863
6,5,10.9267253815557
6,6,12.1027619961029
6,7,12.8986114647735
6,8,13.9498647153726
6,9,15.0187397059359
6,10,16.099456038083
7,1,7.9836221046235
7,2,9.02644617490916
7,3,10.0218873667545
7,4,10.9277074978984
7,5,11.8883625271041
7,6,13.0204141428395
7,7,14.0970953764181
7,8,15.0097304635156
7,9,16.0247098769674
7,10,16.6709904397374
8,1,9.07147942259495
8,2,10.0580637406345
8,3,11.0206482468662
8,4,11.9475591605905
8,5,13.0294881063597
8,6,13.7934488565267
8,7,15.0116712991343
8,8,15.9489644618402
8,9,17.1337918531824
8,10,17.8341274625625
9,1,10.1352579531201
9,2,10.9471746735937
9,3,11.9314861812082
9,4,12.8601894122655
9,5,13.9322664023468
9,6,14.9349236980841
9,7,15.9427740286323
9,8,16.8360415719636
9,9,18.0138031254077
9,10,19.0130063108939
10,1,11.1274659186385
10,2,12.2879281272638
10,3,13.0977846068857
10,4,13.9377245073491
10,5,14.9141906783737
10,6,15.8892704155109
10,7,17.0457447287954
10,8,18.2051176384537
10,9,19.1838548708806
10,10,20.3985049982888
