"lambdas","nus","bias"
1,1,1.00133564171715
1,2,1.996369691832
1,3,3.03426611584448
1,4,4.00602657911853
1,5,4.99168544907102
1,6,5.9643446095218
1,7,7.07062334362772
1,8,7.97333782279194
1,9,9.21541756042391
1,10,9.84340276596219
2,1,1.00139067827452
2,2,1.99268682947016
2,3,3.0099958327273
2,4,4.00239998818096
2,5,5.10716820412085
2,6,5.98869424313259
2,7,7.04630087656512
2,8,7.90997279203784
2,9,9.05850755649041
2,10,10.283314273946
3,1,1.00069045246742
3,2,1.97997210481984
3,3,2.97454004532794
3,4,4.0385658720452
3,5,4.96335522769093
3,6,6.02357119249895
3,7,7.01453264491469
3,8,7.96350115726482
3,9,8.92732902154242
3,10,9.84587192547596
4,1,0.996918371057971
4,2,2.0196830212018
4,3,3.0020107054401
4,4,3.97402975224198
4,5,5.00630487912123
4,6,5.96012232539673
4,7,7.04233314753447
4,8,8.02190254474882
4,9,9.08984006572224
4,10,10.0124716569506
5,1,0.94315808163308
5,2,1.85902657937581
5,3,3.01043152980831
5,4,3.97219419990983
5,5,5.10717118617034
5,6,5.89654678057031
5,7,6.92661261306116
5,8,8.05442592510724
5,9,8.96280204900149
5,10,10.0961935397951
6,1,0.975082765165525
6,2,2.01949055576208
6,3,3.01166106198445
6,4,3.96424466411518
6,5,4.92684787477359
6,6,6.16267785552583
6,7,7.06886026218881
6,8,7.9880590950277
6,9,8.93645040808495
6,10,9.9611341895777
7,1,0.911399594818554
7,2,2.09350887445908
7,3,2.94067000042517
7,4,3.94885657340437
7,5,5.01036827970105
7,6,6.07667577171477
7,7,6.91955044441202
7,8,8.31897187002154
7,9,9.01043711859142
7,10,10.0984218346885
8,1,0.894316037328373
8,2,2.05598663494426
8,3,2.90272702738363
8,4,3.93794971260693
8,5,5.12626761124924
8,6,5.97273967818226
8,7,7.01425917120365
8,8,7.90213923468246
8,9,9.03401607517252
8,10,10.5301502735864
9,1,1.0965008893235
9,2,2.10830851470408
9,3,3.02044595183756
9,4,4.0330087631953
9,5,5.21943416499513
9,6,6.08338477331004
9,7,6.96484804706962
9,8,7.83670647038759
9,9,9.19029285251487
9,10,9.86806726810276
10,1,0.989552016405584
10,2,1.88975766538306
10,3,3.02052561434198
10,4,4.03795402920218
10,5,5.11861504601174
10,6,6.19234942300728
10,7,6.79135016705365
10,8,7.76634731897615
10,9,9.0166113671155
10,10,9.86845707335824
