"lambdas","nus","bias"
1,1,0.0933483684688661
1,2,0.192174320673887
1,3,0.246267233306165
1,4,0.273247642185367
1,5,0.268203381962004
1,6,0.304920923001497
1,7,0.250690083259761
1,8,0.234252825551523
1,9,0.228971144479923
1,10,0.208009959853304
2,1,0.043242380778011
2,2,0.178490841203065
2,3,0.27928465283579
2,4,0.363124719843513
2,5,0.363920740805426
2,6,0.429771518283754
2,7,0.512315358853386
2,8,0.524239265639815
2,9,0.392497970382466
2,10,0.253464740271025
3,1,Inf
3,2,0.128829137977926
3,3,Inf
3,4,0.397571288077827
3,5,0.429653413699374
3,6,0.283572248055668
3,7,0.535669202648542
3,8,0.450664166211448
3,9,0.555827340002252
3,10,0.601874295902843
4,1,0.0831697859894341
4,2,0.238275365812884
4,3,0.415471875237559
4,4,0.320427851745613
4,5,0.534983443434922
4,6,0.315034753684186
4,7,Inf
4,8,0.553520905343005
4,9,0.645023067838739
4,10,0.863099759121402
5,1,Inf
5,2,0.176029205152511
5,3,Inf
5,4,0.398461429140357
5,5,0.362253527928595
5,6,0.425814506812604
5,7,0.708117608354226
5,8,0.68519109445085
5,9,0.663826612250846
5,10,0.735194915207041
6,1,0.21360972934011
6,2,Inf
6,3,0.349844380716568
6,4,0.395560397147976
6,5,Inf
6,6,0.444260093967013
6,7,0.627140850065263
6,8,0.78662432442485
6,9,0.837379111504973
6,10,0.955254482976926
7,1,Inf
7,2,Inf
7,3,Inf
7,4,Inf
7,5,0.433127055702533
7,6,0.557836710649763
7,7,Inf
7,8,0.745985125854367
7,9,0.841803768203912
7,10,0.957279378823292
8,1,Inf
8,2,0.280733649444129
8,3,Inf
8,4,Inf
8,5,Inf
8,6,0.695050210882277
8,7,0.809839148445577
8,8,Inf
8,9,Inf
8,10,0.523680012962946
9,1,Inf
9,2,Inf
9,3,0.290186792419851
9,4,Inf
9,5,0.464116135930797
9,6,0.395823343698341
9,7,Inf
9,8,0.809000936979383
9,9,Inf
9,10,0.833665010577212
10,1,Inf
10,2,Inf
10,3,Inf
10,4,Inf
10,5,Inf
10,6,0.587714510794087
10,7,Inf
10,8,0.666172238672712
10,9,0.390755831109381
10,10,0.755873071823914
