"lambdas","nus","mean_sq"
1,1,2.99947597134343
1,2,8.93745199209264
1,3,19.3857479124055
1,4,33.135896470183
1,5,50.8640210788869
1,6,72.3807085440239
1,7,101.286758886382
1,8,128.779095517143
1,9,169.84134963977
1,10,197.662340018658
2,1,5.99502901940818
2,2,12.021399728042
2,3,22.3686035976919
2,4,35.9489023730396
2,5,56.5448404853602
2,6,75.2599928627171
2,7,103.472100908553
2,8,130.03592017455
2,9,168.359651588649
2,10,214.196487179787
3,1,11.0269876126694
3,2,16.94420374411
3,3,26.8938604197493
3,4,41.5082128369184
3,5,58.5373138824574
3,6,81.0611294089937
3,7,106.913518611428
3,8,137.208914518978
3,9,168.896210281803
3,10,203.187037927226
4,1,18.5260775190173
4,2,24.0337032891793
4,3,34.1745575956489
4,4,47.2460683502166
4,5,65.9341204309499
4,6,86.3105558564048
4,7,115.123097178185
4,8,145.381577720743
4,9,180.44885348568
4,10,216.742048576031
5,1,26.5105141360156
5,2,31.9575554648608
5,3,43.297272598963
5,4,56.9564155590447
5,5,77.2270539048247
5,6,93.7903545276528
5,7,121.750051413778
5,8,158.150908125626
5,9,185.884907941666
5,10,233.619499885224
6,1,38.4394652997093
6,2,45.1483894367998
6,3,54.4442816652352
6,4,67.6662909414416
6,5,83.4651460127632
6,6,111.448072533743
6,7,134.860299728874
6,8,162.675337861618
6,9,200.095971536795
6,10,241.559729931606
7,1,50.9210898997418
7,2,58.7650541201016
7,3,65.7906879960695
7,4,82.1659920768509
7,5,99.1473318228302
7,6,125.445414241189
7,7,142.44766362265
7,8,188.224815625403
7,9,210.841244885603
7,10,251.160618696114
8,1,63.7430163902439
8,2,74.4242544951399
8,3,79.4114944614157
8,4,92.5418196818515
8,5,116.598650986368
8,6,140.007195007094
8,7,164.411431500533
8,8,189.04840846577
8,9,221.55094782037
8,10,283.848415552631
9,1,87.5905494391848
9,2,89.246172695843
9,3,95.0995215461195
9,4,113.19650380594
9,5,136.261345509084
9,6,155.42716793487
9,7,173.592263558983
9,8,203.663736800375
9,9,245.546093110139
9,10,277.37738036585
10,1,101.57739642077
10,2,105.570931738748
10,3,121.599931860795
10,4,131.693805565694
10,5,146.85174726275
10,6,180.422707591583
10,7,188.146815460821
10,8,217.419757526765
10,9,262.148523841101
10,10,291.477914419223
