"lambdas","nus","mean_sq"
1,1,0.0136102774180303
1,2,0.0449934232096852
1,3,0.0794804402247194
1,4,0.105339313167204
1,5,0.183501069495509
1,6,0.197445558603767
1,7,0.199604058640092
1,8,0.221673455102592
1,9,0.243256706265983
1,10,0.392934179427334
2,1,0.0310949621161991
2,2,0.0693362424388263
2,3,0.135788053912467
2,4,0.214718832200841
2,5,0.279055347335528
2,6,0.381105964723121
2,7,0.514133109915814
2,8,0.606788063188174
2,9,0.662282044165646
2,10,0.971852028130629
3,1,0.102753586915484
3,2,0.149513151523704
3,3,0.202033929366001
3,4,0.294198453536368
3,5,0.398352576481964
3,6,0.703392198647041
3,7,0.697231635007863
3,8,1.01831594896824
3,9,1.17052333854069
3,10,1.07646399342804
4,1,0.13832153197677
4,2,0.169218732270475
4,3,0.300411922844879
4,4,0.566494552965954
4,5,0.797369394292945
4,6,0.747330124340552
4,7,0.954361422224643
4,8,1.19547029756791
4,9,1.44126726011397
4,10,2.34766532358264
5,1,0.303410385340458
5,2,0.520048736890382
5,3,0.464715884923721
5,4,0.86911746506802
5,5,0.842551077481251
5,6,0.985324749721262
5,7,1.25047570100138
5,8,1.55566169640718
5,9,2.54930320832504
5,10,2.60368159150233
6,1,0.511357447718532
6,2,0.632143886059543
6,3,0.869633699269108
6,4,1.16881152534705
6,5,0.893959144367878
6,6,1.25731886266755
6,7,1.36518879540904
6,8,2.25813541485857
6,9,2.5630052039003
6,10,2.88233870710349
7,1,0.839924528838061
7,2,1.13645722761639
7,3,1.06109839206821
7,4,1.71591524943813
7,5,1.44863044324953
7,6,1.6305924594568
7,7,2.17009414644816
7,8,4.32056353634815
7,9,3.12106468338224
7,10,3.02695712172579
8,1,1.27801412068809
8,2,1.39468306064535
8,3,1.56059752997135
8,4,2.03062756101006
8,5,1.60518742488007
8,6,3.06077288923486
8,7,3.36543571008438
8,8,3.38191472746796
8,9,4.33074161150907
8,10,3.84266188957499
9,1,2.72116970587413
9,2,2.16428084183396
9,3,1.43958508029853
9,4,2.90240559251137
9,5,5.06111225377652
9,6,3.02392973150949
9,7,4.41213585675506
9,8,4.28894474163883
9,9,3.71278878501366
9,10,4.48306583334347
10,1,2.25508566238706
10,2,3.15572512492198
10,3,2.33725740453756
10,4,3.09489058423556
10,5,2.71885094794393
10,6,6.10049908884819
10,7,3.48378368489624
10,8,4.56289487167117
10,9,6.32069296339101
10,10,5.26031144051103
