"lambdas","nus","means"
1,1,2.00133564171715
1,2,2.996369691832
1,3,4.03426611584448
1,4,5.00602657911853
1,5,5.99168544907102
1,6,6.9643446095218
1,7,8.07062334362772
1,8,8.97333782279194
1,9,10.2154175604239
1,10,10.8434027659622
2,1,3.00139067827452
2,2,3.99268682947016
2,3,5.0099958327273
2,4,6.00239998818096
2,5,7.10716820412085
2,6,7.98869424313259
2,7,9.04630087656512
2,8,9.90997279203784
2,9,11.0585075564904
2,10,12.283314273946
3,1,4.00069045246742
3,2,4.97997210481984
3,3,5.97454004532794
3,4,7.0385658720452
3,5,7.96335522769093
3,6,9.02357119249895
3,7,10.0145326449147
3,8,10.9635011572648
3,9,11.9273290215424
3,10,12.845871925476
4,1,4.99691837105797
4,2,6.0196830212018
4,3,7.0020107054401
4,4,7.97402975224198
4,5,9.00630487912123
4,6,9.96012232539673
4,7,11.0423331475345
4,8,12.0219025447488
4,9,13.0898400657222
4,10,14.0124716569506
5,1,5.94315808163308
5,2,6.85902657937581
5,3,8.01043152980831
5,4,8.97219419990983
5,5,10.1071711861703
5,6,10.8965467805703
5,7,11.9266126130612
5,8,13.0544259251072
5,9,13.9628020490015
5,10,15.0961935397951
6,1,6.97508276516553
6,2,8.01949055576208
6,3,9.01166106198445
6,4,9.96424466411518
6,5,10.9268478747736
6,6,12.1626778555258
6,7,13.0688602621888
6,8,13.9880590950277
6,9,14.9364504080849
6,10,15.9611341895777
7,1,7.91139959481855
7,2,9.09350887445908
7,3,9.94067000042517
7,4,10.9488565734044
7,5,12.010368279701
7,6,13.0766757717148
7,7,13.919550444412
7,8,15.3189718700215
7,9,16.0104371185914
7,10,17.0984218346885
8,1,8.89431603732837
8,2,10.0559866349443
8,3,10.9027270273836
8,4,11.9379497126069
8,5,13.1262676112492
8,6,13.9727396781823
8,7,15.0142591712036
8,8,15.9021392346825
8,9,17.0340160751725
8,10,18.5301502735864
9,1,10.0965008893235
9,2,11.1083085147041
9,3,12.0204459518376
9,4,13.0330087631953
9,5,14.2194341649951
9,6,15.08338477331
9,7,15.9648480470696
9,8,16.8367064703876
9,9,18.1902928525149
9,10,18.8680672681028
10,1,10.9895520164056
10,2,11.8897576653831
10,3,13.020525614342
10,4,14.0379540292022
10,5,15.1186150460117
10,6,16.1923494230073
10,7,16.7913501670537
10,8,17.7663473189761
10,9,19.0166113671155
10,10,19.8684570733582
