"lambdas","nus","means"
1,1,1.09271543609121
1,2,1.18434490293406
1,3,1.23272400925422
1,4,1.24665277074787
1,5,1.32385510161954
1,6,1.2700826240357
1,7,1.27652325201508
1,8,1.27146924041041
1,9,1.22761660548889
1,10,1.29551004129838
2,1,2.09934746033251
2,2,2.18495099907044
2,3,2.26496334554167
2,4,2.32496771705461
2,5,2.38580204163538
2,6,2.42321958110582
2,7,2.47945403870681
2,8,2.54569395344717
2,9,2.45905734070949
2,10,2.57406410135153
3,1,3.11091863761897
3,2,3.14887922619887
3,3,3.26703620458718
3,4,3.35330648647299
3,5,3.34476419102906
3,6,3.48881018644987
3,7,3.45396049379907
3,8,3.6236055334259
3,9,3.5867509845342
3,10,3.51719544208974
4,1,4.00314804373095
4,2,4.10040709554809
4,3,4.23856196843173
4,4,4.38078687426335
4,5,4.5389107212874
4,6,4.49373969244424
4,7,4.53331705277039
4,8,4.68916616860868
4,9,4.74650582344804
4,10,4.89809921404491
5,1,5.01547058483361
5,2,5.17725457968434
5,3,5.23133763563827
5,4,5.39968395401503
5,5,5.41799908238443
5,6,5.57286559767935
5,7,5.53569023932938
5,8,5.82251607191475
5,9,5.99232970737464
5,10,5.88915327651375
6,1,6.06301968642526
6,2,6.09847556424348
6,3,6.40650972728003
6,4,6.5797128574044
6,5,6.25310668611827
6,6,6.62178586264434
6,7,6.50457468525625
6,8,6.65172113992162
6,9,6.66504074587017
6,10,7.04493645370797
7,1,7.06806993471313
7,2,7.30911193876649
7,3,7.25814448361278
7,4,7.53997311223189
7,5,7.46740270176621
7,6,7.46831631934568
7,7,7.62983411800245
7,8,7.95985441590394
7,9,7.92709027787615
7,10,7.81390435590803
8,1,7.99406450659495
8,2,8.03645230417222
8,3,8.2620098752873
8,4,8.54595142710311
8,5,8.29059634889655
8,6,8.58749946686105
8,7,8.63620642460038
8,8,8.44781225466708
8,9,8.96214991923932
8,10,8.71039349338569
9,1,9.23695953610721
9,2,9.36335369871133
9,3,9.17639364023962
9,4,9.31338588550015
9,5,9.97002824710835
9,6,9.43199829913244
9,7,9.75575248353314
9,8,9.69736929057824
9,9,9.31664453269957
9,10,9.76602496896627
10,1,10.3067169540471
10,2,10.4205558089166
10,3,10.0170448307677
10,4,10.1991556194002
10,5,10.4616128519028
10,6,10.8708782001811
10,7,10.5521717495344
10,8,10.5466640024289
10,9,11.0833305179759
10,10,10.4570088513808
