"lambdas","nus","vars"
1,1,1.99646875393808
1,2,4.95205163832724
1,3,10.1760975545419
1,4,17.1012862064734
1,5,25.9723347781322
1,6,36.7712708491688
1,7,51.3080121458865
1,8,65.0504863576677
1,9,84.8971313396394
1,10,100.896421388472
2,1,4.99322181004387
2,2,8.03836290766813
2,3,13.2949220576728
2,4,19.9218181276509
2,5,30.4589544333035
2,6,39.4180474155196
2,7,53.8828148472581
2,8,67.5073396648551
2,9,86.3456946067974
2,10,108.786338507332
3,1,10.0249607915497
3,2,13.03119831487
3,3,18.0527850572834
3,4,25.1816702389744
3,5,33.938484163619
3,6,44.6655588527969
3,7,57.7192642914241
3,8,73.7038251159896
3,9,89.2325230370924
3,10,106.155436582086
4,1,17.5462173929981
4,2,19.9491409472538
4,3,25.1474073352132
4,4,31.4918310670415
4,5,40.8787464668104
4,6,50.8161125581696
4,7,65.5072306269641
4,8,81.1736516346062
4,9,97.9426809772168
4,10,116.506481015842
5,1,25.6142590793579
5,2,28.5271119328194
5,3,34.2689725251993
5,4,41.0973221903406
5,5,51.1074850298636
5,6,59.0429231093571
5,7,73.7185501993695
5,8,93.5300948590504
5,9,105.749244256925
5,10,130.992397990483
6,1,37.4539910755252
6,2,40.9955493518646
6,3,45.4060607931281
6,4,52.0312696957586
6,5,59.3259992606554
6,6,73.4812260531721
6,7,85.0895026512825
6,8,98.7144932083524
6,9,120.174063032996
6,10,142.211591203119
7,1,50.2019144684552
7,2,54.3368527926126
7,3,57.3124138835571
7,4,66.4464666084915
7,5,73.9906034475031
7,6,88.6911768960202
7,7,94.4587979779235
7,8,118.935565469427
7,9,129.26592351325
7,10,148.35647025606
8,1,63.0824695196735
8,2,70.089280098028
8,3,71.0920080609029
8,4,77.2729612695268
8,5,89.8978154453805
8,6,104.124141179726
8,7,114.842418294968
8,8,126.936897855165
8,9,139.680062597037
8,10,172.339202812452
9,1,86.4101869061858
9,2,84.8597794323782
9,3,86.0100071453553
9,4,96.3926857967483
9,5,108.80700319201
9,6,118.097771735988
9,7,125.074574761469
9,8,142.497548362155
9,9,161.276445565275
9,10,180.699342269904
10,1,100.796030354605
10,2,102.224791487148
10,3,112.051315181153
10,4,115.429994498774
10,5,120.282898952263
10,6,142.280157972235
10,7,142.389310642702
10,8,157.092439767736
10,9,180.120554950811
10,10,193.274012048535
