"lambdas","nus","vars"
1,1,0.00612976392906831
1,2,0.0149298715659665
1,3,0.0278604265664025
1,4,0.0406591775671977
1,5,0.0608246989362329
1,6,0.10294147119433
1,7,0.114762955547464
1,8,0.174812889547296
1,9,0.244659204266136
1,10,0.243070432469507
2,1,0.0288247476497214
2,2,0.0407150634998004
2,3,0.0694730981970347
2,4,0.0770182009675523
2,5,0.127336486475789
2,6,0.269576666988157
2,7,0.299547831802371
2,8,0.429851936909642
2,9,0.39423099243595
2,10,0.362376779846782
3,1,NA
3,2,0.0919569512647987
3,3,NA
3,4,0.171830253967562
3,5,0.29138710011609
3,6,0.288368054083787
3,7,0.431642097511658
3,8,0.490907279946048
3,9,0.637466895865827
3,10,0.921421787072027
4,1,0.143650524208149
4,2,0.230022654530637
4,3,0.295473665100741
4,4,0.380177772198047
4,5,0.33904127830181
4,6,0.563631057948945
4,7,NA
4,8,0.616326895465018
4,9,1.32939502465464
4,10,1.02907814938146
5,1,NA
5,2,0.336141257420593
5,3,NA
5,4,0.576520594702227
5,5,0.721957892643267
5,6,0.881653438698866
5,7,0.952891283022549
5,8,1.17258494216865
5,9,1.48466710233281
5,10,1.37617090524433
6,1,0.538841141824944
6,2,NA
6,3,0.758351835576648
6,4,0.804649248592386
6,5,NA
6,6,1.20703100386502
6,7,1.15866247383033
6,8,1.83413663522185
6,9,1.79333636264967
6,10,2.16210604289878
7,1,NA
7,2,NA
7,3,NA
7,4,NA
7,5,1.54915021074277
7,6,1.77118046700537
7,7,NA
7,8,1.99038424985373
7,9,2.71212520396866
7,10,3.27208192985361
8,1,NA
8,2,1.50309764816975
8,3,NA
8,4,NA
8,5,NA
8,6,2.45128276859739
8,7,2.29418999058787
8,8,NA
8,9,NA
8,10,3.15736774258276
9,1,NA
9,2,NA
9,3,2.33075242538392
9,4,NA
9,5,2.25778011771546
9,6,2.53806721505163
9,7,NA
9,8,5.08978920054272
9,9,NA
9,10,4.76312836618074
10,1,NA
10,2,NA
10,3,NA
10,4,NA
10,5,NA
10,6,2.75045033898727
10,7,NA
10,8,3.96343638145076
10,9,3.5072488898713
10,10,6.55640462963211
